name,collection,material,pivot_x_mm,pivot_y_mm,pivot_z_mm,axis_x,axis_y,axis_z,spin,role,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,count
bhd_cockpit,09 Structure,frame_alu,,,,,,,,,315,286,149.0,151.0,-18.0,18.2,-17.5,16.6,
bhd_firewall,09 Structure,frame_alu,,,,,,,,,1264,1192,296.5,302.9,-27.9,27.9,-28.2,26.2,
bhd_nose,09 Structure,frame_alu,,,,,,,,,1540,1530,65.0,70.4,-23.9,23.9,-34.4,20.1,
bhd_spar,09 Structure,carbon,,,,,,,,,272,254,228.8,231.3,-18.3,18.5,-17.7,16.3,
bhd_tail,09 Structure,frame_alu,,,,,,,,,1540,1530,382.0,387.4,-23.9,23.9,-26.0,24.0,
fuselage_skin,01 Fuselage,airframe,,,,,,,,,12093,11770,0.0,438.0,-32.2,32.2,-35.6,29.1,
flaperon_l,02 Wing,control,322.9,-57.0,-6.0,-0.2890999333432433,0.9572989232945645,-0.0,-1.0,hinge,980,912,323.4,371.2,-141.1,-56.8,-15.8,-2.4,
flaperon_r,02 Wing,control,322.9,57.0,-6.0,0.2890999333432433,0.9572989232945645,0.0,1.0,hinge,980,912,323.3,371.2,56.8,141.1,-9.5,3.8,
leading_edge_flap_l,01 Fuselage,airframe,,,,,,,,,2590,2522,169.5,305.0,-150.0,-43.7,-13.4,1.8,
leading_edge_flap_r,01 Fuselage,airframe,,,,,,,,,2590,2522,169.5,305.0,43.7,150.0,-13.4,1.8,
spar_carbon,09 Structure,carbon,,,,,,,,,2800,2692,218.4,311.7,-144.3,144.3,-8.0,-4.0,
wing_l,02 Wing,airframe,,,,,,,,,2629,2556,186.9,349.7,-150.0,-28.8,-15.7,3.6,
wing_r,02 Wing,airframe,,,,,,,,,2629,2556,186.9,349.7,28.8,150.0,-15.7,3.6,
wing_strake_l,02 Wing,airframe,,,,,,,,,375,352,104.0,178.0,-42.8,-27.9,-7.8,-4.6,
wing_strake_r,02 Wing,airframe,,,,,,,,,375,352,104.0,178.0,27.9,42.8,-7.8,-4.6,
fin_tip_ecm_fairing,01 Fuselage,airframe,,,,,,,,,208,184,417.2,443.4,0.0,0.0,98.1,107.2,
rudder,03 Tail,control,406.3,0.0,24.0,0.0,0.0,1.0,1.0,hinge,1120,1052,409.3,444.6,-1.5,4.0,24.0,91.1,
rudder_servo,03 Tail,control,,,,,,,,,296,236,310.8,413.7,-5.6,18.0,17.2,40.0,
stab_pivot_l,01 Fuselage,alu,,,,,,,,,384,354,407.1,412.9,-20.5,-10.0,-21.4,-15.5,
stab_pivot_r,01 Fuselage,alu,,,,,,,,,384,354,407.1,412.9,10.0,20.5,-21.4,-15.5,
stab_servo_l,01 Fuselage,servo,,,,,,,,,296,236,387.0,413.5,-13.4,-9.5,-21.3,-18.8,
stab_servo_r,01 Fuselage,servo,,,,,,,,,296,236,387.0,413.5,9.5,13.4,-21.3,-18.8,
stabilator_l,03 Tail,control,410.0,0.0,-17.0,0.0,1.0,0.0,-1.0,hinge,1680,1612,400.9,463.8,-62.0,-13.3,-27.2,-16.6,
stabilator_r,03 Tail,control,410.0,0.0,-17.0,0.0,1.0,0.0,1.0,hinge,1680,1612,400.9,463.8,13.3,62.0,-27.2,-16.6,
ventral_l,03 Tail,airframe,,,,,,,,,1540,1472,344.0,400.0,-22.5,-10.5,-26.7,-6.6,
ventral_r,03 Tail,airframe,,,,,,,,,1540,1472,344.0,400.0,10.5,22.5,-26.7,-6.6,
vtail_fin,03 Tail,airframe,,,,,,,,,1820,1752,330.0,431.9,-4.1,4.1,24.0,102.0,
duct_coupling,04 Intake and Duct,duct,,,,,,,,,2884,3184,286.9,299.6,-25.0,26.3,-26.0,24.0,
duct_frames,04 Intake and Duct,airframe,,,,,,,,,1440,1440,107.4,276.9,-22.3,22.3,-35.3,13.7,
duct_inlet,04 Intake and Duct,duct,,,,,,,,,3744,3744,54.0,300.0,-21.0,21.0,-34.5,19.6,
duct_seam,04 Intake and Duct,duct,,,,,,,,,420,412,86.0,300.2,-23.7,23.7,-24.7,-0.3,
intake_lip,04 Intake and Duct,airframe,,,,,,,,,288,288,52.0,60.3,-22.6,22.6,-36.1,-11.9,
canopy_frame,05 Cockpit,glass,,,,,,,,,3792,3750,77.4,178.0,-16.8,16.8,21.1,37.5,
canopy_glass,05 Cockpit,glass,,,,,,,,,2132,2130,96.0,178.0,-16.0,16.0,22.0,41.2,
canopy_latch_locks,05 Cockpit,alu,,,,,,,,,480,396,107.3,156.0,-15.0,15.0,21.1,21.9,
canopy_windscreen_glass,05 Cockpit,glass,,,,,,,,,2132,2130,78.0,96.0,-11.6,11.6,22.3,36.4,
frame_canopy_breaker_cord,01 Fuselage,glass,,,,,,,,,3808,3780,113.9,135.1,-15.0,15.0,22.2,40.1,
frame_canopy_rear_hinge,01 Fuselage,glass,,,,,,,,,1360,908,161.4,164.8,-6.7,6.7,21.3,22.9,
frame_canopy_seal,01 Fuselage,glass,,,,,,,,,5648,5592,95.8,178.2,-16.2,16.2,21.6,36.1,
frame_windscreen_bow,01 Fuselage,airframe,,,,,,,,,4760,4724,77.4,96.2,-12.2,12.2,21.7,23.0,
strut_canopy_actuator,01 Fuselage,glass,,,,,,,,,192,104,153.6,159.2,-7.6,7.6,16.7,22.3,
coaming,05 Cockpit,fabric,,,,,,,,,234,232,97.8,105.2,-12.0,12.0,27.1,31.7,
cockpit_tub,05 Cockpit,plastic,,,,,,,,,1028,974,95.0,152.0,-12.4,12.4,6.0,23.8,
console_l,05 Cockpit,plastic,,,,,,,,,500,412,105.0,142.0,-11.1,-7.0,7.1,25.5,
console_r,05 Cockpit,plastic,,,,,,,,,500,412,105.0,142.0,7.0,11.1,7.1,25.5,
control_stick,05 Cockpit,plastic,,,,,,,,,224,224,121.4,124.1,7.8,10.4,24.9,30.7,
control_stick_boots,05 Cockpit,plastic,,,,,,,,,200,164,106.0,110.8,-5.1,5.1,6.4,9.1,
control_stick_hotas,05 Cockpit,plastic,,,,,,,,,240,198,121.4,123.5,7.7,9.6,29.0,31.1,
ejection_handle,05 Cockpit,warning,,,,,,,,,480,480,125.9,129.7,-0.4,0.4,24.4,28.2,
hud_frame_combiner,05 Cockpit,plastic,,,,,,,,,2208,1240,103.7,108.1,-4.9,4.9,28.4,34.9,
hud_frame_projector,05 Cockpit,plastic,,,,,,,,,1184,1112,101.3,108.0,-4.6,4.6,26.3,30.2,
hud_glass_combiner_1,05 Cockpit,visor,,,,,,,,,226,256,103.9,106.1,-4.6,4.6,30.4,34.6,
hud_glass_combiner_2,05 Cockpit,visor,,,,,,,,,226,256,105.7,107.9,-4.6,4.6,30.4,34.6,
hud_glass_projector_lens,05 Cockpit,visor,,,,,,,,,450,560,103.1,106.9,-1.9,1.9,30.2,30.5,
instrument_panel,05 Cockpit,board,,,,,,,,,226,256,97.5,100.5,-10.8,10.8,23.9,30.1,
panel_instruments,05 Cockpit,plastic,,,,,,,,,700,672,96.9,100.8,-7.8,7.8,23.1,30.9,
pilot_arms,05 Cockpit,flightsuit,,,,,,,,,536,460,115.6,138.3,-9.9,9.9,24.7,30.6,
pilot_helmet,05 Cockpit,helmet,,,,,,,,,266,286,131.6,139.2,-3.3,3.3,29.8,37.8,
pilot_mask,05 Cockpit,plastic,,,,,,,,,536,480,130.3,137.4,-3.4,5.3,25.3,33.1,
pilot_torso,05 Cockpit,flightsuit,,,,,,,,,200,182,134.2,140.4,-6.4,6.4,23.4,32.0,
pilot_torso_legs,05 Cockpit,flightsuit,,,,,,,,,768,708,109.2,135.0,-5.4,5.4,8.7,26.9,
pilot_visor,05 Cockpit,visor,,,,,,,,,238,236,131.4,133.5,-3.1,3.1,32.1,35.0,
